1	113	6.0
1	270	501.0
1	448	20.0
1	681	14.5
1	3738	42.5
1	8327	1.0
1	12642	6.0
2	112	5.25
2	383	3.75
2	901	4.5
2	8743	15.0
2	16073	6.0
3	295	4.0
5	83	121.0
5	233	20.0
5	387	12.0
5	571	21.0
5	829	6.5
5	4484	58.25
5	7445	12.0
5	11136	125.25
6	5	179.5
6	200	75.5
6	492	18.5
6	3940	15.5
6	13413	7.0
7	132	225.0
7	297	15.75
7	490	9.0
7	782	14.0
7	5300	141.75
7	10207	12.0
8	158	10.0
10	18	27.0
10	202	8.0
10	430	12.0
10	860	7.0
10	10502	3.0
11	109	686.75
11	253	109.0
11	411	15.0
11	606	11.0
11	873	30.75
11	4911	7.0
11	8752	38.25
11	13084	20.25
14	108	16.5
14	342	6.25
14	744	10.0
14	9242	7.0
15	129	96.0
15	281	15.25
15	461	8.0
15	679	10.0
15	3142	53.25
15	7116	15.0
15	11246	15.5
16	46	20.0
16	213	6.5
16	383	6.25
16	637	7.5
16	2783	6.25
16	8600	4.0
17	39	15.0
17	212	6.0
17	395	39.75
17	641	9.0
17	3738	5.0
17	9242	15.5
17	16918	7.5
18	149	4.0
18	345	97.25
18	604	16.5
18	3415	111.25
18	8391	8.75
18	13413	116.5
19	196	12.0
21	34	25.0
21	242	20.0
21	539	9.0
21	3772	9.0
22	17	9.0
23	138	60.5
23	326	43.75
23	567	10.5
23	2585	14.0
23	8796	6.0
24	110	3.75
24	553	3.75
24	10502	2.25
25	184	2.5
25	644	4.5
25	7155	1.0
26	81	67.25
26	228	27.0
26	370	12.5
26	547	38.0
26	734	32.0
26	3309	15.0
26	6523	45.75
26	9795	12.5
26	14183	18.0
27	101	9.0
27	489	3.75
27	8688	3.75
28	126	12.0
28	345	16.0
28	685	9.0
28	6004	16.0
29	125	45.0
29	379	20.0
29	897	29.0
30	24	5.25
30	187	12.0
30	339	8.0
30	554	48.75
30	850	8.75
30	5108	36.0
30	10476	4.0
31	44	12.0
32	326	12.0
33	216	14.0
34	1	59.0
34	211	12.0
34	622	9.0
34	15297	13.5
35	143	6.0
35	309	10.5
35	522	13.5
35	790	9.0
35	5154	57.75
35	11406	7.5
36	64	16.5
36	273	15.0
36	614	12.0
36	7780	6.25
37	93	60.5
37	279	9.0
37	511	40.25
37	3081	88.25
37	8796	7.5
37	14738	12.0
38	105	36.0
38	250	29.0
38	409	18.0
38	606	14.0
38	883	8.0
38	5154	178.0
38	9273	7.0
38	14421	10.0
39	201	12.0
39	827	10.5
41	106	77.25
41	286	36.75
41	538	14.0
41	2702	19.25
41	7152	15.75
41	12289	6.0
42	83	31.0
42	243	4.0
42	413	1.5
42	656	4.0
42	3085	12.5
42	7780	5.0
42	13148	4.0
43	431	7.5
44	118	9.0
44	262	12.0
44	437	127.25
44	671	35.25
44	3126	15.75
44	7780	6.25
44	13821	10.5
45	119	9.0
45	379	12.0
45	4273	7.5
46	64	3.0
46	458	1.0
46	8814	6.0
48	29	83.0
48	168	168.25
48	310	241.0
48	478	8.0
48	677	29.75
48	2748	22.5
48	5662	15.0
48	9332	20.0
48	13045	30.0
49	67	9.0
49	253	6.0
49	497	8.0
49	2575	8.0
50	23	161.25
50	165	20.5
50	312	9.0
50	483	16.0
50	680	10.5
50	3082	34.0
50	6125	55.5
50	9975	12.25
50	16235	19.75
52	80	11.25
52	246	3.0
52	420	6.0
52	672	6.0
52	3142	14.0
52	7780	7.5
52	13378	6.0
54	109	40.0
54	350	2.0
54	3085	8.0
55	59	53.0
55	264	15.0
55	667	7.5
58	5	52.5
58	264	28.0
58	2670	6.0
59	28	172.5
59	166	15.0
59	312	28.0
59	501	276.25
59	705	12.25
59	3454	12.0
59	8502	7.5
59	14515	9.0
60	477	10.0
61	119	22.0
61	279	17.5
61	481	2.0
61	2668	14.0
61	10692	26.5
64	158	28.25
64	4573	8.75
65	195	12.0
65	489	12.0
65	5529	12.0
67	213	15.75
67	699	15.75
68	236	13.5
70	90	16.0
70	295	22.0
70	610	12.0
70	5528	6.0
70	15727	7.5
71	146	8.75
71	429	4.0
71	3082	7.0
72	26	295.25
72	187	15.0
72	339	8.0
72	561	10.0
72	891	75.75
72	6403	19.0
72	13602	32.0
75	101	38.75
75	252	11.25
75	421	68.25
75	635	243.75
75	2585	36.0
75	5355	17.5
75	9374	1.5
75	14181	16.0
76	373	14.0
78	60	6.0
78	211	92.0
78	350	27.0
78	544	12.0
78	734	27.0
78	3383	6.0
78	6624	12.25
78	9903	14.0
78	15969	6.0
80	30	183.5
80	240	9.0
80	646	20.0
81	169	8.75
81	597	4.5
83	48	151.75
83	221	7.0
83	403	2.0
83	679	2.5
83	4764	18.0
84	26	36.0
84	836	26.0
87	206	4.0
87	8059	2.0
88	27	12.75
88	204	14.5
88	390	8.0
88	641	4.5
88	4595	16.5
88	10259	7.5
90	42	30.5
90	221	12.25
90	438	46.0
